MACH,WAFER_ID,Vf,TOUCHDOWN,PD,X_UM,Y_UM,TE_LABEL,TYPE,LDI_mA,FLAG,ITH
LIV_54,QCHZ2,1.690808,3,5.131693,-43119,-60116,63N0D,BL LASER,30,,12.71013795253522
LIV_54,QCHZ2,1.696008,3,5.42909,-43119,-60116,63N0D,BL LASER,31,,12.71013795253522
LIV_54,QCHZ2,1.701208,3,5.7232,-43119,-60116,63N0D,BL LASER,32,,12.71013795253522
LIV_54,QCHZ2,1.70637,3,6.020598,-43119,-60116,63N0D,BL LASER,33,,12.71013795253522
LIV_54,QCHZ2,1.711531,3,6.314708,-43119,-60116,63N0D,BL LASER,34,,12.71013795253522
LIV_54,QCHZ2,1.716693,3,6.60389,-43119,-60116,63N0D,BL LASER,35,,12.71013795253522
LIV_54,QCHZ2,1.721854,3,6.898001,-43119,-60116,63N0D,BL LASER,36,,12.71013795253522
LIV_54,QCHZ2,1.727016,3,7.192112,-43119,-60116,63N0D,BL LASER,37,,12.71013795253522
LIV_54,QCHZ2,1.732139,3,7.47965,-43119,-60116,63N0D,BL LASER,38,,12.71013795253522
LIV_54,QCHZ2,1.737262,3,7.777047,-43119,-60116,63N0D,BL LASER,39,,12.71013795253522
LIV_54,QCHZ2,1.742385,3,8.064586,-43119,-60116,63N0D,BL LASER,40,,12.71013795253522
LIV_54,QCHZ2,1.747507,3,8.358697,-43119,-60116,63N0D,BL LASER,41,,12.71013795253522
LIV_54,QCHZ2,1.75263,3,8.646236,-43119,-60116,63N0D,BL LASER,42,,12.71013795253522
LIV_54,QCHZ2,1.757714,3,8.943633,-43119,-60116,63N0D,BL LASER,43,,12.71013795253522
LIV_54,QCHZ2,1.76276,3,9.2361,-43119,-60116,63N0D,BL LASER,44,,12.71013795253522
LIV_54,QCHZ2,1.767806,3,9.530211,-43119,-60116,63N0D,BL LASER,45,,12.71013795253522
LIV_54,QCHZ2,1.77289,3,9.825965,-43119,-60116,63N0D,BL LASER,46,,12.71013795253522
LIV_54,QCHZ2,1.777935,3,10.115147,-43119,-60116,63N0D,BL LASER,47,,12.71013795253522
LIV_54,QCHZ2,1.78302,3,10.410901,-43119,-60116,63N0D,BL LASER,48,,12.71013795253522
LIV_54,QCHZ2,1.788065,3,10.706655,-43119,-60116,63N0D,BL LASER,49,,12.71013795253522
LIV_54,QCHZ2,1.793072,3,11.004052,-43119,-60116,63N0D,BL LASER,50,,12.71013795253522
LIV_54,QCHZ2,1.798079,3,11.294877,-43119,-60116,63N0D,BL LASER,51,,12.71013795253522
LIV_54,QCHZ2,1.803125,3,11.592274,-43119,-60116,63N0D,BL LASER,52,,12.71013795253522
LIV_54,QCHZ2,1.808093,3,11.881455,-43119,-60116,63N0D,BL LASER,53,,12.71013795253522
